Feature,Importance
MonthlyToTotalRatio,0.09751387808853153
MonthlyCharges,0.08391365947970986
AvgMonthlySpend,0.07795029058870895
ServiceEfficiency,0.07794316325709859
TotalCharges,0.07511318433500623
Charge_Tenure_Interaction,0.07493939253940277
ExpectedVsActualCharges,0.06339002629448628
tenure,0.06051284673026326
CustomerCluster,0.03941021257668745
ContractRisk,0.037190103404206386
Contract,0.035891244810784775
PaymentMethod_Electronic check,0.02709998416294245
InternetService_Fiber optic,0.021568064848029964
TotalServices,0.019723704186109955
PaperlessBilling,0.017334532367726904
gender,0.016107399157523475
TenureGroup,0.013355934331466819
Partner,0.012008424491912043
SeniorCitizen,0.011819283145626892
OnlineSecurity,0.011234899275135084
Dependents,0.011205036629214403
OnlineBackup,0.010845123283025076
TechSupport,0.010671218708999954
StreamingTV,0.009622333262106786
StreamingMovies,0.00947265868737957
DeviceProtection,0.009259470423016829
InternetService_No,0.008318324541166152
PaymentMethod_Bank transfer,0.007825424391980593
MultipleLines_1,0.007606668119846121
MultipleLines_0,0.0075978717089237304
PaymentMethod_Mailed check,0.00747510291044435
PaymentMethod_Credit card,0.007216511655839144
HighValueCustomer,0.007204847917642101
InternetService_DSL,0.007021429675992519
PhoneService,0.004637750013062946
