gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_DSL,InternetService_Fiber optic,InternetService_No,PaymentMethod_Bank transfer,PaymentMethod_Credit card,PaymentMethod_Electronic check,PaymentMethod_Mailed check,MultipleLines_0,MultipleLines_1,TotalServices,AvgMonthlySpend,TenureGroup,HighValueCustomer,ContractRisk,Charge_Tenure_Interaction,MonthlyToTotalRatio,ExpectedVsActualCharges,ServiceEfficiency,CustomerCluster
0,0,1,0,1,0,0,1,0,0,0,0,0,1,29.85,29.85,0,1,0,0,0,0,1,0,1,0,1,14.925,0,0,2,29.85,0.9675850891410048,0.0,14.925,1
1,0,0,0,34,1,1,0,1,0,0,0,1,0,56.95,1889.5,0,1,0,0,0,0,0,1,1,0,3,53.98571428571429,1,0,1,1936.3000000000002,0.03012430573922243,46.80000000000018,472.375,1
1,0,0,0,2,1,1,1,0,0,0,0,0,1,53.85,108.15,1,1,0,0,0,0,0,1,1,0,3,36.050000000000004,0,0,2,107.7,0.4933577645442052,-0.45000000000000284,27.0375,1
1,0,0,0,45,0,1,0,1,1,0,0,1,1,42.3,1840.75,0,1,0,0,1,0,0,0,1,0,3,40.016304347826086,2,0,1,1903.4999999999998,0.022967286548119994,62.74999999999977,460.1875,1
0,0,0,0,2,1,0,0,0,0,0,0,0,1,70.7,151.65,1,0,1,0,0,0,1,0,1,0,1,50.550000000000004,0,1,2,141.4,0.46315099901735995,-10.25,75.825,0
0,0,0,0,8,1,0,0,1,0,1,1,0,1,99.65,820.5,1,0,1,0,0,0,1,0,0,1,4,91.16666666666667,0,1,2,797.2,0.12130249543517956,-23.299999999999955,164.1,0
1,0,0,1,22,1,0,1,0,0,1,0,0,1,89.1,1949.4,0,0,1,0,0,1,0,0,0,1,3,84.75652173913043,1,1,2,1960.1999999999998,0.04568293683347005,10.799999999999727,487.35,0
0,0,0,0,10,0,1,0,0,0,0,0,0,0,29.75,301.9,0,1,0,0,0,0,0,1,1,0,1,27.44545454545454,0,0,2,297.5,0.09821723341036646,-4.399999999999977,150.95,1
0,0,1,0,28,1,0,0,1,1,1,1,0,1,104.8,3046.05,1,0,1,0,0,0,1,0,0,1,5,105.03620689655173,1,1,2,2934.4,0.03439392199012159,-111.65000000000009,507.675,0
1,0,0,1,62,1,1,1,0,0,0,0,1,0,56.15,3487.95,0,1,0,0,1,0,0,0,1,0,3,55.364285714285714,2,0,1,3481.2999999999997,0.01609366714914229,-6.650000000000091,871.9875,1
