Feature,Importance
MonthlyToTotalRatio,0.09817545578950669
MonthlyCharges,0.08393501563610023
AvgMonthlySpend,0.07798881075722514
ServiceEfficiency,0.07780062905457187
TotalCharges,0.0752848396839168
Charge_Tenure_Interaction,0.07490635490438786
ExpectedVsActualCharges,0.06342574665976189
tenure,0.06024470065979954
CustomerCluster,0.038791780868241026
ContractRisk,0.037234486077853936
Contract,0.03588242657991209
PaymentMethod_Electronic check,0.02716281812232605
InternetService_Fiber optic,0.021715670625879764
TotalServices,0.019618406184664205
PaperlessBilling,0.017381549749201555
gender,0.016057772086145963
TenureGroup,0.01335012748271586
Partner,0.01204625334834188
SeniorCitizen,0.011874448141197742
OnlineSecurity,0.011231705718679196
Dependents,0.011202670244973987
OnlineBackup,0.01081283793766031
TechSupport,0.010671530903161561
StreamingTV,0.009638610713170353
StreamingMovies,0.009444832473413121
DeviceProtection,0.009211655739986859
InternetService_No,0.008368834812832213
PaymentMethod_Bank transfer,0.007828303341891524
MultipleLines_1,0.007595499136561887
MultipleLines_0,0.007550428695889231
PaymentMethod_Mailed check,0.007510200081528577
PaymentMethod_Credit card,0.007226087566661404
HighValueCustomer,0.007219250452591722
InternetService_DSL,0.006948284034695309
PhoneService,0.004661975734552741
